Build Num,slow_ratio,repository_id
3184,0.530,515056
424,0.042,516528
331,0.112,517851
330,0.009,517882
599,0.037,518257
306,0.382,519487
301,0.013,519643
1474,0.960,520366
902,0.061,521884
554,0.005,522037
317,0.060,524716
4364,0.114,524835
425,0.033,526085
803,0.020,527147
355,0.842,527687
4628,0.373,530812
838,0.004,534588
2871,0.376,535188
376,0.141,537013
829,0.013,538335
851,0.036,539844
442,0.299,541205
6563,0.878,542019
480,0.558,543588
1089,0.030,544525
1061,0.120,545110
711,0.184,545220
359,0.003,545527
2339,0.020,547682
868,0.079,548277
952,0.404,549153
513,0.136,549484
596,0.646,549569
391,0.005,550676
438,0.763,550748
319,0.000,551379
354,0.006,554416
758,0.005,557075
1130,0.104,557818
1691,0.096,558389
1091,0.025,559024
10234,0.640,560138
1201,0.455,566509
2766,0.742,569377
348,0.388,569502
2528,0.925,571542
751,0.123,573565
1517,0.489,573685
1861,0.001,581543
1294,0.565,584716
652,0.000,584913
1529,0.344,585220
408,0.390,585918
410,0.024,586479
356,0.140,586532
463,0.052,587874
454,0.101,588124
429,0.219,589342
1184,0.126,589533
422,0.033,589915
1038,0.373,590152
391,0.113,592672
350,0.280,594827
2596,0.023,597083
4324,0.631,603759
832,0.024,604168
3244,0.008,604538
2644,0.136,604605
1042,0.811,605289
351,0.014,605448
1251,0.006,605579
476,0.000,606049
915,0.042,606694
1102,0.097,609090
333,0.372,609258
22440,0.957,610311
736,0.029,610670
1274,0.243,611813
1836,0.289,613223
445,0.173,613330
441,0.025,617535
2466,0.491,617765
1267,0.001,618013
2258,0.531,619328
2494,0.199,621626
641,0.000,621843
678,0.007,622482
883,0.322,623362
340,0.000,625995
3255,0.951,627352
1127,0.122,627831
309,0.010,629806
1392,0.086,631660
18896,0.918,634086
535,0.002,637690
1869,0.927,637907
11437,0.499,639383
663,0.722,639693
2184,0.869,640427
2340,0.306,642805
907,0.811,646829
4871,0.960,647597
655,0.922,648010
337,0.000,649541
2217,0.704,650275
712,0.764,650869
576,0.460,654179
684,0.009,654662
2255,0.337,659159
1899,0.965,660906
329,0.015,661515
5809,0.947,661804
1819,0.310,664184
906,0.076,668440
401,0.342,669780
908,0.802,671967
2979,0.367,673011
599,0.409,673100
1319,0.004,674528
1555,0.185,677246
573,0.002,677259
352,0.000,678781
887,0.651,680171
493,0.249,683112
306,0.458,683133
2163,0.020,683196
3262,0.771,683861
5248,0.277,686917
814,0.167,687331
508,0.004,688879
584,0.038,690445
823,0.001,690452
2163,0.454,693171
427,0.016,694069
2461,0.941,695337
519,0.000,696076
2638,0.474,698486
539,0.506,698908
404,0.965,699612
811,0.729,701053
459,0.007,703475
1352,0.026,706196
523,0.866,706471
529,0.002,706546
348,0.011,713439
3751,0.956,714788
469,0.036,714931
5686,0.354,718443
387,0.000,722936
424,0.434,723932
4447,0.015,725413
513,0.004,725416
1462,0.016,725417
2244,0.007,727983
901,0.114,730625
4693,0.011,731985
1612,0.421,733562
1621,0.304,733619
433,0.046,734176
587,0.741,741291
8449,0.823,743397
1543,0.682,747336
1290,0.326,750520
735,0.118,752078
413,0.179,752261
3176,0.185,752490
2974,0.118,756941
971,0.164,761914
410,0.002,762332
679,0.012,766418
1000,0.956,766485
637,0.057,773696
389,0.527,773931
385,0.034,775052
1005,0.551,777386
7119,0.959,777657
316,0.000,777961
2433,0.470,778090
792,0.001,778616
343,0.373,778788
10331,0.191,778807
7422,0.934,778919
2133,0.248,779005
416,0.856,779807
6982,0.120,780849
1392,0.000,780867
465,0.013,780875
317,0.003,781425
765,0.056,782090
460,0.354,783881
568,0.037,785166
2807,0.317,785385
421,0.017,786222
527,0.017,793311
1470,0.248,798838
493,0.067,798866
928,0.210,801362
373,0.024,808652
333,0.877,813499
695,0.017,814402
